,Balanced accuracy,Statistical parity difference,Disparate impact,Average odds difference,Equal opportunity difference,Theil index,Accuracy,Precision,Recall,F1,Threshold
Logistic Regression,0.777459473665941,-0.020223781381311423,0.9584052691981438,0.011657512680033955,0.030369964822191564,0.1775155065914665,0.7753333333333333,0.8171402383134739,0.7444676409185804,0.7791129560847717,0.57
Random Forest,0.7637963096117704,-0.08423826021135983,0.8549708872497014,-0.053762566290878916,-0.02954243677119317,0.14089892565641812,0.7675555555555555,0.7605252993433759,0.8221294363256785,0.7901284109149278,0.48999999999999994
Decision Tree,0.6973598996325481,-0.11177423893951305,0.7944370577264575,-0.08834511341906028,-0.0502872749469816,0.20653776749547517,0.6988888888888889,0.7154101077050539,0.7210855949895616,0.7182366396340195,0.05
KNN,0.7538255173337167,-0.1520083068890894,0.7334943981761108,-0.12403451817885627,-0.1394557823129252,0.15523025042267874,0.7566666666666667,0.7577319587628866,0.7979123173277661,0.7773032336790726,0.4599999999999999
Linear SVC,0.777603280785881,-0.021485341640222422,0.9556152519947075,0.01027946254048949,0.025052389133266573,0.1785318986704403,0.7753333333333333,0.8186003683241252,0.7423799582463465,0.7786292971315962,0.22999999999999998
