,Balanced accuracy,Statistical parity difference,Disparate impact,Average odds difference,Equal opportunity difference,Theil index,Accuracy,Precision,Recall,F1,Threshold
Logistic Regression,0.7759980957953774,0.040584415584415556,1.0841750841750841,0.025633081391060325,0.01569686877743759,0.1793607072963154,0.7737777777777778,0.8165517241379311,0.741544885177453,0.7772428884026258,0.57
Random Forest,0.7644067460415851,0.04422660672660672,1.0797942247756374,0.023994784011315773,0.06391699756628666,0.15063545375004112,0.7668888888888888,0.7692,0.8029227557411274,0.7856996935648621,0.5199999999999999
Decision Tree,0.6990151691717206,0.014319014319014278,1.0269592476489027,-0.0005273221086636581,0.026310886500459874,0.20813322321800984,0.7002222222222222,0.7186454849498328,0.7177453027139875,0.7181951117610195,0.5099999999999999
KNN,0.7538255173337167,0.046994671994672,1.0840592658774477,0.03849660027503263,-0.014578990882308407,0.15523025042267874,0.7566666666666667,0.7577319587628866,0.7979123173277661,0.7773032336790726,0.4599999999999999
Linear SVC,0.7767756460162949,0.04655760905760903,1.096244030460784,0.03271696483746406,0.013111776144951515,0.1778987731031734,0.7746666666666666,0.8163078332569857,0.7440501043841337,0.7785058977719528,0.22999999999999998
