,Balanced accuracy,Statistical parity difference,Disparate impact,Average odds difference,Equal opportunity difference,Theil index,Accuracy,Precision,Recall,F1,Threshold
Logistic Regression,0.7756881666575755,0.030896892655367214,1.0655725419664268,0.023244163600580042,0.05642784119076072,0.182394435482903,0.7731111111111111,0.8195348837209302,0.7356993736951983,0.7753575357535754,0.58
Random Forest,0.7622337708706282,0.050706214689265505,1.0909321175278621,0.043825048115285176,0.07011105785746174,0.14547204953169307,0.7655555555555555,0.7619233776387803,0.8137787056367433,0.7869977791237633,0.49999999999999994
Decision Tree,0.7019017251895527,0.046998587570621475,1.0900785056848945,0.042592408529558395,0.05097471320167113,0.20601553898547456,0.7031111111111111,0.7212703719180944,0.7206680584551148,0.720969089390142,0.5099999999999999
KNN,0.75340798079927,0.045550847457627164,1.0827772073921973,0.04050117211915624,0.04461958724079129,0.15574175114037284,0.7562222222222222,0.7575396825396825,0.7970772442588726,0.7768056968463886,0.4599999999999999
Linear SVC,0.7816497156090232,0.030243644067796616,1.0617787074437393,0.02268309072216368,0.0531561700980987,0.16890734519086023,0.7802222222222223,0.8149641577060932,0.7594989561586639,0.7862545926086016,0.22999999999999998
