,Balanced accuracy,Statistical parity difference,Disparate impact,Average odds difference,Equal opportunity difference,Theil index,Accuracy,Precision,Recall,F1,Threshold
Logistic Regression,0.7759980957953774,0.04634533898305082,1.0978893198090691,0.03834679968315646,0.07606506727444384,0.1793607072963154,0.7737777777777778,0.8165517241379311,0.741544885177453,0.7772428884026258,0.57
Random Forest,0.7624479938906769,0.054731638418079154,1.1027306468716862,0.048308168673165924,0.06845619498789446,0.15767672962195933,0.7642222222222222,0.7722448979591837,0.7899791231732777,0.7810113519091847,0.5299999999999999
Decision Tree,0.6974962684531809,0.026942090395480234,1.0513044647660033,0.021074325449391057,0.04997809286567945,0.2095560062254033,0.6986666666666667,0.7174550020929259,0.7156576200417537,0.7165551839464883,0.5099999999999999
KNN,0.75340798079927,0.045550847457627164,1.0827772073921973,0.04050117211915624,0.04461958724079129,0.15574175114037284,0.7562222222222222,0.7575396825396825,0.7970772442588726,0.7768056968463886,0.4599999999999999
Linear SVC,0.7767756460162949,0.04540960451977405,1.095513963161022,0.03737881511147288,0.07533174395188247,0.1778987731031734,0.7746666666666666,0.8163078332569857,0.7440501043841337,0.7785058977719528,0.22999999999999998
