,Balanced accuracy,Statistical parity difference,Disparate impact,Average odds difference,Equal opportunity difference,Theil index,Accuracy,Precision,Recall,F1,Threshold
Logistic Regression,0.7797484863060911,-0.03710899434808029,0.9253235611334445,-0.014333203565528474,-0.01575347965106666,0.176303779758496,0.7775555555555556,0.820018365472911,0.7457202505219207,0.7811064946424666,0.57
Random Forest,0.7643621162457416,-0.047718524654063565,0.9135820171181505,-0.02635515637616538,-0.024177690875056945,0.16093964804667005,0.7655555555555555,0.7780082987551867,0.7828810020876826,0.7804370447450573,0.5399999999999999
Decision Tree,0.7014916269544131,-0.05320600272851295,0.903822441430333,-0.03657528639919941,-0.04425898900019365,0.20468830988510853,0.7028888888888889,0.7198669991687449,0.7231732776617954,0.7215163507602583,0.5299999999999999
KNN,0.7531129282600826,-0.0565975025753821,0.9025579110093832,-0.035322327201038645,-0.054190616080466825,0.15536172473161136,0.756,0.7568316831683168,0.7979123173277661,0.776829268292683,0.4599999999999999
Linear SVC,0.7786684452466788,-0.03684275551967031,0.9252436268625098,-0.01406648168882739,-0.01768911181325994,0.17910054370889827,0.7762222222222223,0.8212962962962963,0.7407098121085595,0.7789242590559824,0.22999999999999998
