,Balanced accuracy,Statistical parity difference,Disparate impact,Average odds difference,Equal opportunity difference,Theil index,Accuracy,Precision,Recall,F1,Threshold
Logistic Regression,0.7759980957953774,-0.0913418148999971,0.8133218301898019,-0.06044159504993364,-0.06449055107704504,0.1793607072963154,0.7737777777777778,0.8165517241379311,0.741544885177453,0.7772428884026258,0.57
Random Forest,0.7654282724797803,-0.1008762991644589,0.8176683651543988,-0.07022672535977283,-0.04591994059418403,0.15450437337176487,0.7673333333333333,0.7739837398373983,0.7949895615866388,0.784346035015448,0.5299999999999999
Decision Tree,0.699223937438944,-0.10314225547565675,0.8084696130107671,-0.0804135486825415,-0.06978924779902707,0.20786475334001417,0.7004444444444444,0.7187630589218554,0.7181628392484343,0.7184628237259816,0.5099999999999999
KNN,0.7538255173337167,-0.1520083068890894,0.7334943981761108,-0.12403451817885627,-0.1394557823129252,0.15523025042267874,0.7566666666666667,0.7577319587628866,0.7979123173277661,0.7773032336790726,0.4599999999999999
Linear SVC,0.7767756460162949,-0.08960474346657349,0.8174927113702625,-0.05851693014901778,-0.059616631111278906,0.1778987731031734,0.7746666666666666,0.8163078332569857,0.7440501043841337,0.7785058977719528,0.22999999999999998
