,Balanced accuracy,Statistical parity difference,Disparate impact,Average odds difference,Equal opportunity difference,Theil index,Accuracy,Precision,Recall,F1,Threshold
Logistic Regression,0.775760566104166,-0.05502443132778345,0.8905484174673941,-0.0323649573417452,-0.03967534276983531,0.17942072627031064,0.7735555555555556,0.8161764705882353,0.741544885177453,0.7770728505797418,0.57
Random Forest,0.7634184440069622,-0.0545867903778155,0.8998445122729943,-0.033700397821759556,-0.021768974154312226,0.16650869685795366,0.764,0.7815800591465991,0.7724425887265136,0.7769844603107938,0.5599999999999999
Decision Tree,0.6994902285541433,-0.05753716902859374,0.8956070670842594,-0.04058088474196275,-0.06065243162314449,0.20805355673065412,0.7006666666666667,0.7192468619246862,0.7177453027139875,0.7184952978056426,0.5099999999999999
KNN,0.7531129282600826,-0.0565975025753821,0.9025579110093832,-0.035322327201038645,-0.054190616080466825,0.15536172473161136,0.756,0.7568316831683168,0.7979123173277661,0.776829268292683,0.4599999999999999
Linear SVC,0.7767756460162949,-0.053496603279784005,0.893803628424965,-0.03076457456755867,-0.0377648998021074,0.1778987731031734,0.7746666666666666,0.8163078332569857,0.7440501043841337,0.7785058977719528,0.22999999999999998
