,Balanced accuracy,Statistical parity difference,Disparate impact,Average odds difference,Equal opportunity difference,Theil index,Accuracy,Precision,Recall,F1,Threshold
Logistic Regression,0.780144699715857,-0.007776325215056723,0.9842687700764301,0.02051962754623486,0.013926603090830159,0.17389502851742938,0.7782222222222223,0.8179335457441966,0.7503131524008351,0.7826655052264808,0.5599999999999999
Random Forest,0.7712782469416193,-0.02771472135784514,0.9483546827004771,-0.001941576273260845,0.0048967923457677864,0.16671103028246415,0.7711111111111111,0.7945619335347432,0.7686847599164927,0.7814091680814941,0.57
Decision Tree,0.7067609181836665,-0.02053812626423368,0.9628010385980516,-0.0017128695244013614,0.010294259129454808,0.20032182408537147,0.7082222222222222,0.7242951907131011,0.7294363256784969,0.7268566673600999,0.05
KNN,0.7510039224631679,-0.041791720041770675,0.9298159848865237,-0.018927538743363392,-0.004668052847659476,0.1559651704086953,0.754,0.7543443917851501,0.7974947807933194,0.7753196671402476,0.4599999999999999
Linear SVC,0.7822482507599462,-0.015714858138399124,0.9699650936171426,0.012156774868365625,0.010688908392285312,0.16101204394129717,0.7817777777777778,0.8073075250108743,0.7749478079331942,0.7907967618236046,0.22999999999999998
