,Balanced accuracy,Statistical parity difference,Disparate impact,Average odds difference,Equal opportunity difference,Theil index,Accuracy,Precision,Recall,F1,Threshold
Logistic Regression,0.7764443937538121,-0.006243756243756227,0.9870867768595042,-0.019956706769039725,-0.04051142913702155,0.1790368067446519,0.7742222222222223,0.8170114942528736,0.7419624217118997,0.7776805251641138,0.57
Random Forest,0.7646348538870074,0.03725441225441217,1.0711842837827088,0.01930366736611841,0.04002235755790262,0.16646359533297722,0.7651111111111111,0.7834745762711864,0.7720250521920669,0.777707676130389,0.5599999999999999
Decision Tree,0.6962297740244671,-0.022165334665334657,0.9587481117093388,-0.03953931638373405,0.00978143158237943,0.20718998460751578,0.6977777777777778,0.7142857142857143,0.7202505219206681,0.7172557172557172,0.5099999999999999
KNN,0.7538255173337167,0.046994671994672,1.0840592658774477,0.03849660027503263,-0.014578990882308407,0.15523025042267874,0.7566666666666667,0.7577319587628866,0.7979123173277661,0.7773032336790726,0.4599999999999999
Linear SVC,0.7787770444165646,-0.011738261738261702,0.9759959141981615,-0.02529990507292261,-0.04826670703447955,0.1746587174791598,0.7768888888888889,0.8162801273306048,0.7494780793319415,0.7814540705267741,0.22999999999999998
