,Balanced accuracy,Statistical parity difference,Disparate impact,Average odds difference,Equal opportunity difference,Theil index,Accuracy,Precision,Recall,F1,Threshold
Logistic Regression,0.7790646586564448,-0.02208041469058225,0.9559754694749502,0.006289818065711758,-0.0019928806058356896,0.17668790485399238,0.7768888888888889,0.8191831115190454,0.7453027139874739,0.7804984696108439,0.57
Random Forest,0.7681402764072023,-0.033119306838238605,0.939561942888412,-0.008224865527045988,0.0032720547089903906,0.1652758588880459,0.7684444444444445,0.7879948914431673,0.7728601252609604,0.78035413153457,0.5599999999999999
Decision Tree,0.6983963026693577,-0.01622778521595103,0.970330709671214,0.003651842058435495,0.00015903776263315184,0.20706834587614378,0.6997777777777778,0.7171381031613977,0.7198329853862213,0.7184830172952699,0.5099999999999999
KNN,0.7510039224631679,-0.041791720041770675,0.9298159848865237,-0.018927538743363392,-0.004668052847659476,0.1559651704086953,0.754,0.7543443917851501,0.7974947807933194,0.7753196671402476,0.4599999999999999
Linear SVC,0.7813343317183958,-0.03457391542227051,0.9361864303920379,-0.007689526057552257,-0.00196931945581591,0.1597588344739708,0.7811111111111111,0.8044041450777202,0.7778705636743215,0.7909148800679261,0.22999999999999998
